[2025-10-22 22:09:37] ✓ Loaded normalization parameters from metadata
[2025-10-22 22:09:37]   Type: minmax
[2025-10-22 22:09:37]   Feature range: [0.0000, 5.9859] (min)
[2025-10-22 22:09:37]   Feature range: [9.3461, 100.0000] (range)
[2025-10-22 22:09:41] Train batches: 18368
[2025-10-22 22:09:41] Val batches: 2296
[2025-10-22 22:09:41] Test batches: 2296
[2025-10-22 22:09:41] Model created: 134,497 parameters
[2025-10-22 22:09:41] ======================================================================
[2025-10-22 22:09:41] Starting training
[2025-10-22 22:09:41] ======================================================================
[2025-10-22 22:11:18] Epoch 1 [7300/18368] Power Loss: 5.9438
[2025-10-22 22:11:18] Epoch 1 [7400/18368] Power Loss: 5.9402
[2025-10-22 22:11:18] Epoch 1 [7500/18368] Power Loss: 5.9360
[2025-10-22 22:11:19] Epoch 1 [7600/18368] Power Loss: 5.9333
[2025-10-22 22:11:19] Epoch 1 [7700/18368] Power Loss: 5.9298
[2025-10-22 22:11:20] Epoch 1 [7800/18368] Power Loss: 5.9262
[2025-10-22 22:11:20] Epoch 1 [7900/18368] Power Loss: 5.9225
[2025-10-22 22:11:20] Epoch 1 [8000/18368] Power Loss: 5.9191
[2025-10-22 22:11:21] Epoch 1 [8100/18368] Power Loss: 5.9153
[2025-10-22 22:11:21] Epoch 1 [8200/18368] Power Loss: 5.9121
[2025-10-22 22:11:21] Epoch 1 [8300/18368] Power Loss: 5.9086
[2025-10-22 22:11:22] Epoch 1 [8400/18368] Power Loss: 5.9042
[2025-10-22 22:11:22] Epoch 1 [8500/18368] Power Loss: 5.9003
[2025-10-22 22:11:23] Epoch 1 [8600/18368] Power Loss: 5.8967
[2025-10-22 22:11:23] Epoch 1 [8700/18368] Power Loss: 5.8926
[2025-10-22 22:11:23] Epoch 1 [8800/18368] Power Loss: 5.8893
[2025-10-22 22:11:24] Epoch 1 [8900/18368] Power Loss: 5.8859
[2025-10-22 22:11:24] Epoch 1 [9000/18368] Power Loss: 5.8828
[2025-10-22 22:11:24] Epoch 1 [9100/18368] Power Loss: 5.8800
[2025-10-22 22:11:25] Epoch 1 [9200/18368] Power Loss: 5.8770
[2025-10-22 22:11:25] Epoch 1 [9300/18368] Power Loss: 5.8739
[2025-10-22 22:11:25] Epoch 1 [9400/18368] Power Loss: 5.8708
[2025-10-22 22:11:26] Epoch 1 [9500/18368] Power Loss: 5.8673
[2025-10-22 22:11:26] Epoch 1 [9600/18368] Power Loss: 5.8637
[2025-10-22 22:11:27] Epoch 1 [9700/18368] Power Loss: 5.8607
[2025-10-22 22:11:27] Epoch 1 [9800/18368] Power Loss: 5.8578
[2025-10-22 22:11:27] Epoch 1 [9900/18368] Power Loss: 5.8547
[2025-10-22 22:11:28] Epoch 1 [10000/18368] Power Loss: 5.8520
[2025-10-22 22:11:28] Epoch 1 [10100/18368] Power Loss: 5.8487
[2025-10-22 22:11:28] Epoch 1 [10200/18368] Power Loss: 5.8461
[2025-10-22 22:11:29] Epoch 1 [10300/18368] Power Loss: 5.8427
[2025-10-22 22:11:29] Epoch 1 [10400/18368] Power Loss: 5.8401
[2025-10-22 22:11:30] Epoch 1 [10500/18368] Power Loss: 5.8368
[2025-10-22 22:11:30] Epoch 1 [10600/18368] Power Loss: 5.8334
[2025-10-22 22:11:30] Epoch 1 [10700/18368] Power Loss: 5.8302
[2025-10-22 22:11:31] Epoch 1 [10800/18368] Power Loss: 5.8273
[2025-10-22 22:11:31] Epoch 1 [10900/18368] Power Loss: 5.8247
[2025-10-22 22:11:31] Epoch 1 [11000/18368] Power Loss: 5.8220
[2025-10-22 22:11:32] Epoch 1 [11100/18368] Power Loss: 5.8191
[2025-10-22 22:11:32] Epoch 1 [11200/18368] Power Loss: 5.8162
[2025-10-22 22:11:32] Epoch 1 [11300/18368] Power Loss: 5.8133
[2025-10-22 22:11:33] Epoch 1 [11400/18368] Power Loss: 5.8104
[2025-10-22 22:11:33] Epoch 1 [11500/18368] Power Loss: 5.8075
[2025-10-22 22:11:34] Epoch 1 [11600/18368] Power Loss: 5.8047
[2025-10-22 22:11:34] Epoch 1 [11700/18368] Power Loss: 5.8019
[2025-10-22 22:11:34] Epoch 1 [11800/18368] Power Loss: 5.7990
[2025-10-22 22:11:35] Epoch 1 [11900/18368] Power Loss: 5.7962
